"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated"
2016,1,"00","000",0,6605.3,6595.2,6615.3,3362601,884075121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,"2016-02-24 20:29:00"
2016,1,"01","000",0,9544.7,9445.5,9644,73929,13566808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6399.7,17192.7,NA,"2016-02-24 20:29:00"
2016,1,"02","000",0,7366.1,7148.6,7583.6,7422,2125012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4899.8,20425.7,NA,"2016-02-24 20:29:00"
2016,1,"04","000",0,6752.5,6680.9,6824.1,68082,18420433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4806.3,14319.8,NA,"2016-02-24 20:29:00"
2016,1,"05","000",0,9098.5,8975.5,9221.4,43697,8274959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6171.9,15266.7,NA,"2016-02-24 20:29:00"
2016,1,"06","000",0,5274.6,5249.4,5299.8,312690,107880593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3621.6,10644.8,NA,"2016-02-24 20:29:00"
2016,1,"08","000",0,5730.7,5657.7,5803.7,45181,14807654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3424.6,11008.8,NA,"2016-02-24 20:29:00"
2016,1,"09","000",0,5275.2,5188.1,5362.2,31815,10013184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4257.3,6077.5,NA,"2016-02-24 20:29:00"
2016,1,"10","000",0,7272.7,7071.1,7474.3,10724,2570967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7115.8,7781.6,NA,"2016-02-24 20:29:00"
2016,1,"11","000",0,7782.4,7544.8,8019.9,7213,1800065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7782.4,7782.4,NA,"2016-02-24 20:29:00"
