"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated"
2017,1,"00","000",0,6601.2,6591.2,6611.3,3439572,890407742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,"2017-02-10 12:07:00"
2017,1,"01","000",0,9573.2,9473.6,9672.9,75262,13597347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6167.1,17986.8,NA,"2017-02-10 12:07:00"
2017,1,"02","000",0,7403.4,7184.9,7621.8,7528,2136730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5764.1,15729.3,NA,"2017-02-10 12:07:00"
2017,1,"04","000",0,6787.7,6716.1,6859.4,70310,18621936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4870.3,14815,NA,"2017-02-10 12:07:00"
2017,1,"05","000",0,9150.7,9027.5,9274,44590,8296206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6047.8,15267.7,NA,"2017-02-10 12:07:00"
2017,1,"06","000",0,5213.2,5188.2,5238.2,318043,108854052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3537.7,11461.3,NA,"2017-02-10 12:07:00"
2017,1,"08","000",0,5711.5,5639.1,5783.9,46711,15024589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3308.2,10486.3,NA,"2017-02-10 12:07:00"
2017,1,"09","000",0,5236.7,5150.1,5323.2,32235,10030135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4367.2,6000.6,NA,"2017-02-10 12:07:00"
2017,1,"10","000",0,7158.2,6959.4,7356.9,10923,2594546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6940.2,8161.8,NA,"2017-02-10 12:07:00"
2017,1,"11","000",0,7666.9,7433.2,7900.6,7354,1840752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7666.9,7666.9,NA,"2017-02-10 12:07:00"
2017,1,"12","000",0,6720.8,6678.4,6763.2,228026,53778260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5132.5,16556.7,NA,"2017-02-10 12:07:00"
2017,1,"13","000",0,7342.3,7283.9,7400.7,116906,28607319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4143.9,14806.4,NA,"2017-02-10 12:07:00"
2017,1,"15","000",0,5599.8,5460.5,5739.1,13047,3916797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5062.4,6420.7,NA,"2017-02-10 12:07:00"
2017,1,"16","000",0,6220.1,6082.6,6357.7,16050,4566479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,2947,10404.7,NA,"2017-02-10 12:07:00"
2017,1,"17","000",0,6263.4,6214.8,6312.1,132343,36301759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4059,13162.8,NA,"2017-02-10 12:07:00"
2017,1,"18","000",0,7661.3,7585.8,7736.8,82008,18503654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3826.8,13770,NA,"2017-02-10 12:07:00"
2017,1,"19","000",0,5905.5,5809.3,6001.6,31672,8579962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3648.1,12045,NA,"2017-02-10 12:07:00"
2017,1,"20","000",0,6756.9,6650.6,6863.3,31230,8118049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4327.4,11906.7,NA,"2017-02-10 12:07:00"
2017,1,"21","000",0,8931.5,8833,9029.9,66250,12396561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5286.5,16897.1,NA,"2017-02-10 12:07:00"
2017,1,"22","000",0,9346.1,9246.7,9445.4,66981,13103000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5312.7,13035.7,NA,"2017-02-10 12:07:00"
2017,1,"23","000",0,6378.5,6213.7,6543.3,15859,3682070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5075.9,8217.7,NA,"2017-02-10 12:07:00"
2017,1,"24","000",0,6420.1,6346.9,6493.2,61694,16774578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3500.2,12293,NA,"2017-02-10 12:07:00"
2017,1,"25","000",0,5200.7,5139.4,5261.9,60536,18728973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3632.6,6486.4,NA,"2017-02-10 12:07:00"
2017,1,"26","000",0,7222.4,7161.2,7283.6,120607,27731538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4245.2,10448.2,NA,"2017-02-10 12:07:00"
2017,1,"27","000",0,5071.2,5003.4,5139.1,45937,15226864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3115.1,12186.4,NA,"2017-02-10 12:07:00"
2017,1,"28","000",0,10077.2,9948.9,10205.5,47345,8443722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7029.5,16147.2,NA,"2017-02-10 12:07:00"
2017,1,"29","000",0,7711.8,7632.4,7791.1,77405,16926064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4987.6,16011.2,NA,"2017-02-10 12:07:00"
2017,1,"30","000",0,7142.3,6948.7,7336,12019,2834002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4243.4,23439.2,NA,"2017-02-10 12:07:00"
2017,1,"31","000",0,5926.8,5803.3,6050.3,17926,5230265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3654.3,14500.8,NA,"2017-02-10 12:07:00"
2017,1,"32","000",0,6970.6,6863.5,7077.7,33607,7955312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5305.9,12016.4,NA,"2017-02-10 12:07:00"
2017,1,"33","000",0,5537.3,5389.2,5685.4,13509,3713671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4987.4,7683.4,NA,"2017-02-10 12:07:00"
2017,1,"34","000",0,5470.2,5415.8,5524.6,83427,24953973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3871,8284.5,NA,"2017-02-10 12:07:00"
2017,1,"35","000",0,8207.1,8064.9,8349.3,25052,5871383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3307.9,15499.8,NA,"2017-02-10 12:07:00"
2017,1,"36","000",0,5339.1,5303.2,5375,180891,55106544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4135.3,8917.4,NA,"2017-02-10 12:07:00"
2017,1,"37","000",0,7228.1,7168.2,7288.1,119253,27802554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4307.2,12112.3,NA,"2017-02-10 12:07:00"
2017,1,"38","000",0,6561.5,6346.9,6776,7002,2010186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4408.8,28112.5,NA,"2017-02-10 12:07:00"
2017,1,"39","000",0,7566.3,7508.8,7623.7,148038,32347298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4128.6,12091.3,NA,"2017-02-10 12:07:00"
2017,1,"40","000",0,9254.4,9146.7,9362.1,56593,10836203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6618.2,14990.9,NA,"2017-02-10 12:07:00"
2017,1,"41","000",0,5997.7,5911.7,6083.8,42614,11034524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4323,9700.6,NA,"2017-02-10 12:07:00"
2017,1,"42","000",0,6843.1,6790.4,6895.8,150021,35382000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4126.4,10559,NA,"2017-02-10 12:07:00"
2017,1,"44","000",0,5802.5,5635.4,5969.7,10652,2927209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4260,6195.5,NA,"2017-02-10 12:07:00"
2017,1,"45","000",0,8197.4,8105.6,8289.2,66746,13470112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5708.6,13726.3,NA,"2017-02-10 12:07:00"
2017,1,"46","000",0,6896.7,6689.4,7104.1,8644,2349906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3451.4,25254.7,NA,"2017-02-10 12:07:00"
2017,1,"47","000",0,8694.1,8614,8774.2,95487,18329371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3665.9,15819.9,NA,"2017-02-10 12:07:00"
2017,1,"48","000",0,6657.2,6623.3,6691,265769,75774984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3967.7,18186.8,NA,"2017-02-10 12:07:00"
2017,1,"49","000",0,5889.4,5791.6,5987.2,21695,8338851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4173.2,10794.3,NA,"2017-02-10 12:07:00"
2017,1,"50","000",0,5544,5327.1,5761,6584,1749493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4789.3,7228.8,NA,"2017-02-10 12:07:00"
2017,1,"51","000",0,6087.5,6028.1,6147,85067,23401000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3179.6,16479.7,NA,"2017-02-10 12:07:00"
2017,1,"53","000",0,5529.2,5468.1,5590.2,66230,19748635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4571.3,10996.5,NA,"2017-02-10 12:07:00"
