"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated"
2020,1,"00","000",0,6940.11051876029,6929.79458257076,6950.42645494981,3813889,912286150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,"2020-02-07 12:32:00"
2020,1,"01","000",0,9942.79466645241,9840.53594875201,10045.0533841528,81791,13640424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6106.01607508411,15840.4417823325,NA,"2020-02-07 12:32:00"
2020,1,"02","000",0,8048.67501610803,7815.11632072172,8282.23371149434,8336,2139176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5023.53051126987,19111.252266214,NA,"2020-02-07 12:32:00"
2020,1,"04","000",0,7074.51779970755,7002.55246095269,7146.48313846241,80394,19598458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5084.19660570901,15888.9296460089,NA,"2020-02-07 12:32:00"
2020,1,"05","000",0,9449.4248196013,9323.59168556638,9575.25795363622,48017,8378747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6154.44182251868,19434.7979618079,NA,"2020-02-07 12:32:00"
2020,1,"06","000",0,5259.87006772333,5234.80689143852,5284.93324400815,347916,111392913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3206.63180354166,11305.4668029352,NA,"2020-02-07 12:32:00"
2020,1,"08","000",0,5944.20621864713,5871.52878495403,6016.88365234022,52817,15957266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3056.91435701677,14036.9462653771,NA,"2020-02-07 12:32:00"
2020,1,"09","000",0,5673.93196713195,5582.00107406107,5765.86286020283,35163,9948168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4529.39437895525,7089.69841555372,NA,"2020-02-07 12:32:00"
2020,1,"10","000",0,7777.26159579045,7567.23985587315,7987.28333570775,12674,2671713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7701.20330143197,8084.78832197717,NA,"2020-02-07 12:32:00"
2020,1,"11","000",0,8111.25094540493,7880.23637316225,8342.26551764761,8387,1972751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,8111.25094540493,8111.25094540493,NA,"2020-02-07 12:32:00"
2020,1,"12","000",0,7259.68677133141,7216.23751280032,7303.13602986251,263456,57246543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5204.64387895749,16884.7456390748,NA,"2020-02-07 12:32:00"
2020,1,"13","000",0,7702.89831732499,7642.81350528336,7762.98312936662,131683,29641967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3873.34434949551,17027.9878489315,NA,"2020-02-07 12:32:00"
2020,1,"15","000",0,5794.41489350406,5649.24481077509,5939.58497623304,14148,3950976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5343.16549773439,7186.41877317988,NA,"2020-02-07 12:32:00"
2020,1,"16","000",0,6310.24273463247,6174.06617934377,6446.41928992117,18014,4838952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3599.58113110992,10278.1401193857,NA,"2020-02-07 12:32:00"
2020,1,"17","000",0,6683.43722428181,6631.98003968052,6734.8944088831,143465,35867104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4016.03077526086,12782.3889155378,NA,"2020-02-07 12:32:00"
2020,1,"18","000",0,8305.94179952808,8226.42121380431,8385.46238525185,90977,18711178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4147.87081806385,13591.7649330006,NA,"2020-02-07 12:32:00"
2020,1,"19","000",0,6244.27941761714,6144.58055618433,6343.97827904994,34968,8729877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3839.60926680885,12173.600115423,NA,"2020-02-07 12:32:00"
2020,1,"20","000",0,7023.8881030282,6914.29400057266,7133.48220548374,34357,8146030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4252.25182295768,16900.9941962131,NA,"2020-02-07 12:32:00"
2020,1,"21","000",0,9717.81086902619,9614.61466870943,9821.00706934295,74299,12499158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5594.33045658339,19032.5969362,NA,"2020-02-07 12:32:00"
2020,1,"22","000",0,9535.21619898878,9434.41060996569,9636.02178801186,71605,13181992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6933.49414257224,13711.675179378,NA,"2020-02-07 12:32:00"
2020,1,"23","000",0,7009.90718542446,6838.09043831975,7181.72393252918,18065,3680112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5625.79952204709,9684.42595169316,NA,"2020-02-07 12:32:00"
2020,1,"24","000",0,7211.08730837739,7132.78660758068,7289.38800917411,70250,16994474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4104.55262320483,13652.3121738429,NA,"2020-02-07 12:32:00"
2020,1,"25","000",0,5705.95748081122,5641.31031384645,5770.604647776,67991,19155145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4173.37285935948,7541.42133318941,NA,"2020-02-07 12:32:00"
2020,1,"26","000",0,7625.52923679838,7562.09498367402,7688.96348992275,131680,27815826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4599.84920109218,11390.1208508708,NA,"2020-02-07 12:32:00"
