"year","category_id","state_fips","county_fips","z_score","rank","quartile","health_group","state_comparison","us_comparison","last_updated"
2024,1,"01","000",0.524465567112675,NA,NA,6,NA,NA,"2024-03-04 12:11:00"
2024,1,"01","001",0.133256834066558,NA,NA,5,1,2,"2024-03-04 12:11:00"
2024,1,"01","003",-0.223532595961408,NA,NA,4,1,1,"2024-03-04 12:11:00"
2024,1,"01","005",1.34681050008997,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","007",0.825541971501031,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","009",0.300238578268966,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","011",1.76263157910708,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"01","013",1.23739527966195,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","015",0.81500618103154,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","017",1.08360641936276,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","019",0.53013617683988,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","021",0.448786249817547,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","023",1.05763285257135,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","025",1.50732638882997,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"01","027",0.971179823151775,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","029",0.64142186255201,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","031",0.276477217632475,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","033",0.556177556289497,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","035",2.10842804833404,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"01","037",1.13515688436786,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","039",0.951804205595285,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","041",0.958818721005243,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","043",0.403796767456832,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","045",0.566767019858676,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","047",2.18657493732637,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"01","049",0.710705289042456,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","051",0.007933705520106,NA,NA,5,1,2,"2024-03-04 12:11:00"
2024,1,"01","053",1.23526575168275,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","055",0.867515982995009,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","057",1.18573383367181,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","059",0.789213836691927,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","061",1.03855776695793,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","063",2.20497701609646,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"01","065",1.67607365391631,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"01","067",0.629334423283586,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","069",0.499036029734316,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","071",0.835374962674802,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","073",0.795625617040382,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","075",0.60005880376844,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","077",0.153234604185128,NA,NA,5,1,2,"2024-03-04 12:11:00"
2024,1,"01","079",0.782461918252037,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","081",-0.190856428690394,NA,NA,4,1,1,"2024-03-04 12:11:00"
2024,1,"01","083",-0.170627080559153,NA,NA,4,1,1,"2024-03-04 12:11:00"
2024,1,"01","085",2.44869915606019,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"01","087",1.3566008474526,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","089",-0.135687397725439,NA,NA,4,1,1,"2024-03-04 12:11:00"
2024,1,"01","091",1.34432003301135,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","093",0.873689666901368,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","095",0.579317356107871,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","097",0.968509411497874,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","099",1.49727841116943,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"01","101",0.949078065267765,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","103",0.457575322519067,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","105",2.44883185466211,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"01","107",0.978706100197912,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","109",1.00186414291743,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","111",0.7025480595282,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","113",1.05020747007771,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","115",0.261684904102115,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","117",-0.7802492006329,NA,NA,2,1,1,"2024-03-04 12:11:00"
2024,1,"01","119",1.91837471102572,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"01","121",1.29419882971344,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","123",1.02706015273099,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"01","125",0.524589095522422,NA,NA,6,2,3,"2024-03-04 12:11:00"
2024,1,"01","127",1.67892091638514,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"01","129",0.816270206887368,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"01","131",2.53212781753502,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"01","133",0.810535112772056,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"02","000",-0.503069909050086,NA,NA,3,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","013",NA,NA,NA,NA,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","016",-0.501939371843396,NA,NA,3,2,1,"2024-03-04 12:11:00"
2024,1,"02","020",-0.525116260904423,NA,NA,3,2,1,"2024-03-04 12:11:00"
2024,1,"02","050",1.72548343196585,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"02","060",-0.233994656058034,NA,NA,4,3,1,"2024-03-04 12:11:00"
2024,1,"02","063",NA,NA,NA,NA,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","066",NA,NA,NA,NA,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","068",NA,NA,NA,NA,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","070",1.67574252851393,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"02","090",-0.749659752224493,NA,NA,2,1,1,"2024-03-04 12:11:00"
2024,1,"02","100",-0.044965534706715,NA,NA,5,3,2,"2024-03-04 12:11:00"
2024,1,"02","105",0.070449382284789,NA,NA,5,3,2,"2024-03-04 12:11:00"
2024,1,"02","110",-1.01995601514852,NA,NA,2,1,1,"2024-03-04 12:11:00"
2024,1,"02","122",-0.643177072993476,NA,NA,3,2,1,"2024-03-04 12:11:00"
2024,1,"02","130",-0.580859908554956,NA,NA,3,2,1,"2024-03-04 12:11:00"
2024,1,"02","150",-1.15501249006877,NA,NA,1,1,1,"2024-03-04 12:11:00"
2024,1,"02","158",2.30627678842411,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"02","164",-0.00198940623571,NA,NA,5,3,2,"2024-03-04 12:11:00"
2024,1,"02","170",-0.512257202356618,NA,NA,3,2,1,"2024-03-04 12:11:00"
2024,1,"02","180",1.59584983541083,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"02","185",-0.27810704091149,NA,NA,4,3,1,"2024-03-04 12:11:00"
2024,1,"02","188",1.3054975560987,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"02","195",-0.182706259226536,NA,NA,4,3,1,"2024-03-04 12:11:00"
2024,1,"02","198",0.690836291319133,NA,NA,7,3,3,"2024-03-04 12:11:00"
2024,1,"02","220",-0.968285474341624,NA,NA,2,1,1,"2024-03-04 12:11:00"
2024,1,"02","230",NA,NA,NA,NA,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","240",-0.590455104247156,NA,NA,3,2,1,"2024-03-04 12:11:00"
2024,1,"02","275",0.065340902965085,NA,NA,5,3,2,"2024-03-04 12:11:00"
2024,1,"02","282",NA,NA,NA,NA,NA,NA,"2024-03-04 12:11:00"
2024,1,"02","290",1.34840934590096,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"04","000",-0.389034587425581,NA,NA,4,NA,NA,"2024-03-04 12:11:00"
2024,1,"04","001",2.65929317004119,NA,NA,10,3,3,"2024-03-04 12:11:00"
2024,1,"04","003",-0.242574573832301,NA,NA,4,2,1,"2024-03-04 12:11:00"
2024,1,"04","005",0.027650606269727,NA,NA,5,3,2,"2024-03-04 12:11:00"
2024,1,"04","007",1.49926268890816,NA,NA,9,3,3,"2024-03-04 12:11:00"
2024,1,"04","009",0.132874035786474,NA,NA,5,3,2,"2024-03-04 12:11:00"
2024,1,"04","011",-0.279284806021531,NA,NA,4,2,1,"2024-03-04 12:11:00"
2024,1,"04","012",1.41411440853672,NA,NA,8,3,3,"2024-03-04 12:11:00"
2024,1,"04","013",-0.511501522559682,NA,NA,3,1,1,"2024-03-04 12:11:00"
