"year","measure_id","state_fips","county_fips","correction","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_nhopi","race_nhopi_ci_low","race_nhopi_ci_high","race_nhopi_flag","race_tom","race_tom_ci_low","race_tom_ci_high","race_tom_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","last_updated"
2018,1,"01","001",0,NA,NA,NA,NA,NA,NA,NA,NA,11806.2232847848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9148.38174343372,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","003",0,NA,NA,NA,NA,NA,NA,NA,NA,10335.7026905829,NA,NA,NA,2827.34821552452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7484.11706526545,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","005",0,NA,NA,NA,NA,NA,NA,NA,NA,9141.33308503812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8896.00053183599,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","007",0,NA,NA,NA,NA,NA,NA,NA,NA,11297.1663521799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11923.067966173,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5133.14457041047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9600.72568482265,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","011",0,NA,NA,NA,NA,NA,NA,NA,NA,14093.9891096001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11157.7740282422,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","013",0,NA,NA,NA,NA,NA,NA,NA,NA,15168.192827588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11225.6214941127,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","015",0,NA,NA,NA,NA,NA,NA,NA,NA,13353.3681328426,NA,NA,NA,5819.32798885086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11429.7127847995,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","017",0,NA,NA,NA,NA,NA,NA,NA,NA,11018.7483160002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10090.7530340094,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","019",0,NA,NA,NA,NA,NA,NA,NA,NA,15481.101544996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11694.0124179309,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","021",0,NA,NA,NA,NA,NA,NA,NA,NA,16051.4581383725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10873.9334430062,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","023",0,NA,NA,NA,NA,NA,NA,NA,NA,14450.7724388852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9294.1239779593,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","025",0,NA,NA,NA,NA,NA,NA,NA,NA,10725.9549192955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8226.20803339379,NA,NA,NA,"2018-01-18 13:59:00"
2018,1,"01","027",0,NA,NA,NA,NA,NA,NA,NA,NA,14084.3940875252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9643.62304792184,NA,NA,NA,"2018-01-18 13:59:00"
