"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated","years_used"
2019,1,"21","000",0,9715.62591641969,9612.42499595459,9818.82683688478,73300,12477370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5681.75908774565,21923.0665204229,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"22","000",0,9532.27747075072,9431.7664055387,9632.78853596274,70607,13216102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6428.67234378464,15154.8550013953,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"23","000",0,6994.30219292064,6822.57887015085,7166.02551569043,17827,3679545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5766.1908416921,9700.1163505729,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"24","000",0,7066.94392414099,6989.37989901194,7144.50794927004,68476,16992066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4099.39314477273,13243.9124549539,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"25","000",0,5712.5112750864,5647.78739905017,5777.23515112263,66983,19076067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4041.33535464486,7414.27225529995,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"26","000",0,7553.00103057636,7490.04552692783,7615.95653422488,129723,27790858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4491.53873059903,12219.5807815494,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"27","000",0,5257.91255148092,5188.97036918992,5326.85473377191,50156,15505330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3533.67818219538,15735.349786891,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"28","000",0,10376.1634566378,10244.3931058196,10507.9338074559,50266,8411061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7113.13220106065,15922.3714032139,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"29","000",0,8190.09835622474,8107.35027366823,8272.84643878124,83522,17032495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5399.95119897174,15053.8724491301,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"30","000",0,7540.77632825945,7343.04652379749,7738.5061327214,13185,2902373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4341.56518124222,20972.8799635504,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"31","000",0,6060.45454259196,5935.88657280529,6185.02251237864,19520,5341576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3146.11028469829,17028.1843760276,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"32","000",0,7275.92160457825,7166.77624881634,7385.06696034015,37385,8332663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5871.51114795264,11691.0922578718,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"33","000",0,6460.38290785241,6298.33903178095,6622.42678392388,15319,3733292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5428.15978676986,8402.00107129038,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"34","000",0,5743.19795751381,5686.84045774325,5799.55545728436,88938,25105785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3835.65547360199,9449.37279209826,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"35","000",0,8799.84159842361,8650.33277860497,8949.35041824225,27221,5838018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4370.98875670208,15556.8995987955,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"36","000",0,5427.81596744839,5391.4242268771,5464.20770801968,189569,55389498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3984.71211991609,8008.55311158561,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"37","000",0,7611.23315371585,7549.64570057236,7672.82060685933,131511,28574995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4527.00874418186,12594.3487571014,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"38","000",0,6679.19026457467,6468.71019420029,6889.67033494905,7554,2117340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5461.95724113673,26337.3660295184,NA,"2019-02-01 17:22:00","2015-2017"
