"year","state_fips","total_counties","ranked_counties","range_1_min","range_1_max","range_2_min","range_2_max","range_3_min","range_3_max","range_4_min","range_4_max","range_5_min","range_5_max","not_ranked_min","not_ranked_max","last_updated"
2010,"27",87,85,1,21,22,42,43,64,65,85,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"28",82,81,1,20,21,40,41,61,62,81,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"29",115,115,1,29,30,58,59,86,87,115,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"30",56,44,1,11,12,22,23,33,34,44,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"31",93,75,1,19,20,38,39,56,57,75,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"32",17,15,1,4,5,8,9,11,12,15,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"33",10,10,1,2,3,5,6,8,9,10,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"34",21,21,1,5,6,10,11,16,17,21,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"35",33,32,1,8,9,16,17,24,25,32,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"36",62,62,1,16,17,31,32,46,47,62,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"37",100,100,1,25,26,50,51,75,76,100,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"38",53,44,1,11,12,22,23,33,34,44,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"39",88,88,1,22,23,44,45,66,67,88,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"40",77,77,1,19,20,38,39,58,59,77,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"41",36,33,1,8,9,16,17,25,26,33,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"42",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"44",5,5,1,1,2,2,3,3,4,4,5,5,NA,NA,"2015-07-27 14:13:00"
2010,"45",46,46,1,12,13,23,24,34,35,46,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"46",66,57,1,14,15,28,29,43,44,57,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"47",95,95,1,24,25,48,49,71,72,95,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"48",254,221,1,55,56,110,111,166,167,221,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"49",29,25,1,6,7,12,13,19,20,25,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"50",14,14,1,4,5,7,8,10,11,14,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"51",134,132,1,33,34,66,67,99,100,132,NA,NA,999,999,"2015-07-27 14:13:00"
2010,"53",39,39,1,10,11,20,21,29,30,39,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"54",55,55,1,14,15,28,29,41,42,55,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"55",72,72,1,18,19,36,37,54,55,72,NA,NA,NA,NA,"2015-07-27 14:13:00"
2010,"56",23,23,1,6,7,12,13,17,18,23,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"01",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"02",27,23,1,6,7,12,13,17,18,23,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"04",15,15,1,4,5,8,9,11,12,15,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"05",75,75,1,19,20,38,39,56,57,75,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"06",58,56,1,14,15,28,29,42,43,56,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"08",64,57,1,14,15,28,29,43,44,57,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"09",8,8,1,2,3,4,5,6,7,8,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"10",3,3,1,1,2,2,3,3,NA,NA,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"11",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-07-27 14:13:00"
