"year","focus_area_id","state_fips","county_fips","z_score","rank","quartile","last_updated"
2021,1,"01","001",-0.759935151431777,5,1,"2021-02-24 16:59:00"
2021,1,"01","003",-0.796385906714077,4,1,"2021-02-24 16:59:00"
2021,1,"01","005",0.128711802525684,44,3,"2021-02-24 16:59:00"
2021,1,"01","007",0.298306162420239,52,4,"2021-02-24 16:59:00"
2021,1,"01","009",0.035967220302544,36,3,"2021-02-24 16:59:00"
2021,1,"01","011",-0.035785380678493,32,2,"2021-02-24 16:59:00"
2021,1,"01","013",0.462846922893275,56,4,"2021-02-24 16:59:00"
2021,1,"01","015",0.092169432039964,42,3,"2021-02-24 16:59:00"
2021,1,"01","017",-0.140619926927195,25,2,"2021-02-24 16:59:00"
2021,1,"01","019",0.192043947441237,48,3,"2021-02-24 16:59:00"
2021,1,"01","021",-0.204468792294441,19,2,"2021-02-24 16:59:00"
2021,1,"01","023",0.069129837001029,40,3,"2021-02-24 16:59:00"
2021,1,"01","025",0.084243221354972,41,3,"2021-02-24 16:59:00"
2021,1,"01","027",-0.031334976159627,33,2,"2021-02-24 16:59:00"
2021,1,"01","029",0.116796063035484,43,3,"2021-02-24 16:59:00"
2021,1,"01","031",-0.631919005068099,8,1,"2021-02-24 16:59:00"
2021,1,"01","033",-0.117411177063002,27,2,"2021-02-24 16:59:00"
2021,1,"01","035",0.544380471749115,58,4,"2021-02-24 16:59:00"
2021,1,"01","037",0.423571451909207,55,4,"2021-02-24 16:59:00"
2021,1,"01","039",0.140750610698963,47,3,"2021-02-24 16:59:00"
2021,1,"01","041",-0.131887288743904,26,2,"2021-02-24 16:59:00"
2021,1,"01","043",-0.203117398345467,20,2,"2021-02-24 16:59:00"
2021,1,"01","045",-0.167507643139452,23,2,"2021-02-24 16:59:00"
2021,1,"01","047",0.689031095838907,63,4,"2021-02-24 16:59:00"
2021,1,"01","049",-0.100178989690884,30,2,"2021-02-24 16:59:00"
2021,1,"01","051",-0.691279626998737,7,1,"2021-02-24 16:59:00"
2021,1,"01","053",0.217934020232747,49,3,"2021-02-24 16:59:00"
2021,1,"01","055",0.133113733823395,45,3,"2021-02-24 16:59:00"
2021,1,"01","057",-0.104282116691233,28,2,"2021-02-24 16:59:00"
2021,1,"01","059",-0.28913293601499,18,2,"2021-02-24 16:59:00"
2021,1,"01","061",0.255665082552018,50,3,"2021-02-24 16:59:00"
2021,1,"01","063",0.479988129794861,57,4,"2021-02-24 16:59:00"
2021,1,"01","065",0.663793486836532,62,4,"2021-02-24 16:59:00"
2021,1,"01","067",-0.334542065069765,16,1,"2021-02-24 16:59:00"
2021,1,"01","069",-0.415314608561132,13,1,"2021-02-24 16:59:00"
2021,1,"01","071",0.043302294961218,37,3,"2021-02-24 16:59:00"
2021,1,"01","073",0.032575621851665,35,3,"2021-02-24 16:59:00"
