"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated"
2014,1,"00","000",0,6811.19,6800.9,6821.48,3226773,864394460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,"2015-07-27 14:13:00"
2014,1,"01","000",0,9608.9,9509.469,9708.331,70721,13401593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6212.02,15671.47,NA,"2015-07-27 14:13:00"
2014,1,"02","000",0,7455.34,7230.626,7680.054,6818,2039349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5733.71,18390.99,NA,"2015-07-27 14:13:00"
2014,1,"04","000",0,6850.18,6777.366,6922.994,63658,17884152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5134.9,14038.59,NA,"2015-07-27 14:13:00"
2014,1,"05","000",0,9290.21,9165.436,9414.984,41697,8135253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,6504.28,14285.53,NA,"2015-07-27 14:13:00"
2014,1,"06","000",0,5570.12,5543.895,5596.345,303379,104976064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3781.84,9804.3,NA,"2015-07-27 14:13:00"
2014,1,"08","000",0,5999.89,5923.372,6076.408,42773,14185355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3517.37,12358.8,NA,"2015-07-27 14:13:00"
2014,1,"09","000",0,5388.24,5300.55,5475.93,30727,9926596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4371.41,6289.19,NA,"2015-07-27 14:13:00"
2014,1,"10","000",0,7504.14,7298.418,7709.862,10352,2505181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7270.02,8337.8,NA,"2015-07-27 14:13:00"
2014,1,"11","000",0,9869.94,9579.233,10160.647,7823,1679076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,9869.94,9869.94,NA,"2015-07-27 14:13:00"
2014,1,"12","000",0,7310.03,7264.636,7355.424,215623,51431508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5876.18,16608.17,NA,"2015-07-27 14:13:00"
2014,1,"13","000",0,7697.1,7636.634,7757.566,108939,27558569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4052.15,19239.54,NA,"2015-07-27 14:13:00"
