"year","category_id","state_fips","county_fips","z_score","rank","quartile","health_group","state_comparison","us_comparison","last_updated"
2011,1,"01","001",-0.243248041420131,27,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","003",-1.22533044682332,3,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","005",-0.092088272184187,31,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","007",0.590651499752694,57,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","009",-0.82439610288792,8,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","011",1.98729223287265,67,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","013",0.359224473599623,50,3,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","015",0.210546177699748,45,3,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","017",0.528246083614582,54,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","019",0.335478256752395,47,3,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","021",0.598906464785324,58,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","023",0.196859813161871,44,3,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","025",-0.455136430567351,17,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","027",-0.529773914583642,14,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","029",-0.316528653004368,23,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","031",-0.703442399469307,10,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","033",0.062126657406929,37,3,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","035",0.544057850473397,55,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","037",0.431364189537026,52,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","039",-0.319016530254812,22,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","041",-0.137938952700202,30,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","043",-0.515064735567591,15,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","045",-0.637874428044561,12,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","047",1.2322931210121,63,4,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","049",-0.391711207972334,18,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","051",-0.922681709601931,6,1,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","053",-0.041414028180425,32,2,NA,NA,NA,"2015-07-27 14:13:00"
2011,1,"01","055",0.10747395766969,40,3,NA,NA,NA,"2015-07-27 14:13:00"
