"year","measure_id","state_fips","county_fips","correction","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_nhopi","race_nhopi_ci_low","race_nhopi_ci_high","race_nhopi_flag","race_tom","race_tom_ci_low","race_tom_ci_high","race_tom_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","last_updated"
2017,24,"01","041",0,NA,NA,NA,NA,NA,NA,NA,NA,0.2945301542777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17971442639094,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","043",0,NA,NA,NA,NA,NA,NA,NA,NA,0.475409836065574,NA,NA,NA,0.642857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205368447708281,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","045",0,NA,NA,NA,NA,NA,NA,NA,NA,0.517427236794826,NA,NA,NA,0.350048216007715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157418995967181,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","047",0,NA,NA,NA,NA,NA,NA,NA,NA,0.610867979576951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236209335219236,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","049",0,NA,NA,NA,NA,NA,NA,NA,NA,0.262180974477958,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182082123600166,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","051",0,NA,NA,NA,NA,NA,NA,NA,NA,0.357702349869452,NA,NA,NA,0.392712550607287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149322684206405,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","053",0,NA,NA,NA,NA,NA,NA,NA,NA,0.429622520793346,NA,NA,NA,0.304347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233282174961631,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","055",0,NA,NA,NA,NA,NA,NA,NA,NA,0.56094674556213,NA,NA,NA,0.52359693877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225950229045438,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","057",0,NA,NA,NA,NA,NA,NA,NA,NA,0.766045548654244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164725457570715,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","059",0,NA,NA,NA,NA,NA,NA,NA,NA,0.283987915407855,NA,NA,NA,0.584123814278582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314832909908149,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","061",0,NA,NA,NA,NA,NA,NA,NA,NA,0.706185567010309,NA,NA,NA,0.609452736318408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.336707746478873,NA,NA,NA,"2017-02-10 12:07:00"
