"year","factor_id","state_fips","county_fips","z_score","rank","quartile","last_updated"
2017,1,"02","090",-0.359183541057689,4,1,"2017-02-10 12:07:00"
2017,1,"02","100",0,12,3,"2017-02-10 12:07:00"
2017,1,"02","110",-0.485705252343149,2,1,"2017-02-10 12:07:00"
2017,1,"02","122",-0.229443523138812,9,2,"2017-02-10 12:07:00"
2017,1,"02","130",-0.275556330810555,7,2,"2017-02-10 12:07:00"
2017,1,"02","150",-0.392829474043416,3,1,"2017-02-10 12:07:00"
2017,1,"02","164",0,12,3,"2017-02-10 12:07:00"
2017,1,"02","170",-0.285845159593147,6,2,"2017-02-10 12:07:00"
2017,1,"02","180",0.575539487063193,18,4,"2017-02-10 12:07:00"
2017,1,"02","185",-0.079223372098187,11,3,"2017-02-10 12:07:00"
2017,1,"02","188",0.37990545352879,16,4,"2017-02-10 12:07:00"
2017,1,"02","220",-0.495652745573712,1,1,"2017-02-10 12:07:00"
2017,1,"02","240",-0.144532241053092,10,2,"2017-02-10 12:07:00"
2017,1,"02","261",-0.335029987233152,5,1,"2017-02-10 12:07:00"
2017,1,"02","282",NA,999,NA,"2017-02-10 12:07:00"
2017,1,"02","290",1.1240982273218,20,4,"2017-02-10 12:07:00"
2017,1,"04","001",0.891352840156299,14,4,"2017-02-10 12:07:00"
2017,1,"04","003",-0.231811406837861,7,2,"2017-02-10 12:07:00"
2017,1,"04","005",-0.227034138555387,8,2,"2017-02-10 12:07:00"
2017,1,"04","007",0.468643691003065,12,4,"2017-02-10 12:07:00"
2017,1,"04","009",-0.167982673328644,9,3,"2017-02-10 12:07:00"
2017,1,"04","011",-0.31599889623961,5,2,"2017-02-10 12:07:00"
2017,1,"04","012",0.944298260492198,15,4,"2017-02-10 12:07:00"
2017,1,"04","013",-0.428612713798994,3,1,"2017-02-10 12:07:00"
2017,1,"04","015",0.276920208938204,11,3,"2017-02-10 12:07:00"
2017,1,"04","017",0.54376702568343,13,4,"2017-02-10 12:07:00"
2017,1,"04","019",-0.270488297402926,6,2,"2017-02-10 12:07:00"
2017,1,"04","021",-0.374765623621702,4,1,"2017-02-10 12:07:00"
2017,1,"04","023",-0.628830874895936,1,1,"2017-02-10 12:07:00"
2017,1,"04","025",-0.038790785702925,10,3,"2017-02-10 12:07:00"
2017,1,"04","027",-0.440666615889211,2,1,"2017-02-10 12:07:00"
2017,1,"05","001",0.105415494213372,46,3,"2017-02-10 12:07:00"
2017,1,"05","003",0.136838236021286,47,3,"2017-02-10 12:07:00"
2017,1,"05","005",-0.111637175561541,32,2,"2017-02-10 12:07:00"
2017,1,"05","007",-1.27999478411932,1,1,"2017-02-10 12:07:00"
2017,1,"05","009",-0.463746275183008,10,1,"2017-02-10 12:07:00"
2017,1,"05","011",0.59991192027995,67,4,"2017-02-10 12:07:00"
2017,1,"05","013",-0.278536178298746,23,2,"2017-02-10 12:07:00"
2017,1,"05","015",-0.392245812323067,20,2,"2017-02-10 12:07:00"
2017,1,"05","017",0.079741208769085,45,3,"2017-02-10 12:07:00"
2017,1,"05","019",-0.06035319407031,34,2,"2017-02-10 12:07:00"
2017,1,"05","021",0.220190853293873,55,3,"2017-02-10 12:07:00"
2017,1,"05","023",-0.503145807562921,9,1,"2017-02-10 12:07:00"
2017,1,"05","025",-0.125459306593183,30,2,"2017-02-10 12:07:00"
2017,1,"05","027",0.048124698769138,44,3,"2017-02-10 12:07:00"
2017,1,"05","029",0.218802181250974,54,3,"2017-02-10 12:07:00"
2017,1,"05","031",-0.420342200167759,14,1,"2017-02-10 12:07:00"
2017,1,"05","033",-0.263648322210926,24,2,"2017-02-10 12:07:00"
2017,1,"05","035",0.627782245233938,68,4,"2017-02-10 12:07:00"
2017,1,"05","037",0.867957919258046,73,4,"2017-02-10 12:07:00"
2017,1,"05","039",-0.122455899616681,31,2,"2017-02-10 12:07:00"
2017,1,"05","041",0.466599404161688,66,4,"2017-02-10 12:07:00"
2017,1,"05","043",0.025356936205336,42,3,"2017-02-10 12:07:00"
2017,1,"05","045",-0.71606475590781,4,1,"2017-02-10 12:07:00"
2017,1,"05","047",0.296729289146654,58,4,"2017-02-10 12:07:00"
2017,1,"05","049",-0.034452845735318,37,2,"2017-02-10 12:07:00"
2017,1,"05","051",0.14113343094467,48,3,"2017-02-10 12:07:00"
2017,1,"05","053",-0.420148431975727,15,1,"2017-02-10 12:07:00"
2017,1,"05","055",0.23866342093429,56,3,"2017-02-10 12:07:00"
2017,1,"05","057",0.244282698503229,57,4,"2017-02-10 12:07:00"
2017,1,"05","059",0.204204977451203,53,3,"2017-02-10 12:07:00"
2017,1,"05","061",0.021287804172657,41,3,"2017-02-10 12:07:00"
2017,1,"05","063",-0.285027412731829,22,2,"2017-02-10 12:07:00"
2017,1,"05","065",-0.248986529013811,25,2,"2017-02-10 12:07:00"
2017,1,"05","067",0.156602591608587,50,3,"2017-02-10 12:07:00"
2017,1,"05","069",0.37381673487686,61,4,"2017-02-10 12:07:00"
2017,1,"05","071",-0.713481180014045,5,1,"2017-02-10 12:07:00"
2017,1,"05","073",1.3341641892879,74,4,"2017-02-10 12:07:00"
2017,1,"05","075",0.433335864529466,63,4,"2017-02-10 12:07:00"
2017,1,"05","077",0.173847960699467,51,3,"2017-02-10 12:07:00"
2017,1,"05","079",-0.207617020014902,26,2,"2017-02-10 12:07:00"
2017,1,"05","081",-0.455188180034912,11,1,"2017-02-10 12:07:00"
2017,1,"05","083",0.364192914672587,60,4,"2017-02-10 12:07:00"
2017,1,"05","085",-0.404453208421106,17,1,"2017-02-10 12:07:00"
2017,1,"05","087",-0.406843016122839,16,1,"2017-02-10 12:07:00"
2017,1,"05","089",0.190415141118233,52,3,"2017-02-10 12:07:00"
2017,1,"05","091",-0.18814331671565,27,2,"2017-02-10 12:07:00"
2017,1,"05","093",0.736970621444171,70,4,"2017-02-10 12:07:00"
2017,1,"05","095",-0.021405787471806,38,2,"2017-02-10 12:07:00"
2017,1,"05","097",-0.39886622555084,18,1,"2017-02-10 12:07:00"
2017,1,"05","099",0.698120098941684,69,4,"2017-02-10 12:07:00"
2017,1,"05","101",-0.535440506234981,8,1,"2017-02-10 12:07:00"
2017,1,"05","103",0.45674952106671,65,4,"2017-02-10 12:07:00"
2017,1,"05","105",-0.006356457890626,39,3,"2017-02-10 12:07:00"
2017,1,"05","107",1.5,75,4,"2017-02-10 12:07:00"
2017,1,"05","109",-0.054410969514651,35,2,"2017-02-10 12:07:00"
2017,1,"05","111",0.86082079085152,72,4,"2017-02-10 12:07:00"
2017,1,"05","113",0.017315556235993,40,3,"2017-02-10 12:07:00"
2017,1,"05","115",-0.717744080238757,3,1,"2017-02-10 12:07:00"
2017,1,"05","117",0.031266866062323,43,3,"2017-02-10 12:07:00"
2017,1,"05","119",-0.134340348727999,29,2,"2017-02-10 12:07:00"
2017,1,"05","121",-0.340864946735821,21,2,"2017-02-10 12:07:00"
2017,1,"05","123",0.146494350924232,49,3,"2017-02-10 12:07:00"
2017,1,"05","125",-0.685191023977321,6,1,"2017-02-10 12:07:00"
2017,1,"05","127",-0.60803898884977,7,1,"2017-02-10 12:07:00"
2017,1,"05","129",-0.041493090045827,36,2,"2017-02-10 12:07:00"
2017,1,"05","131",-0.439073125397554,13,1,"2017-02-10 12:07:00"
2017,1,"05","133",-0.444918465857197,12,1,"2017-02-10 12:07:00"
2017,1,"05","135",0.378531760882981,62,4,"2017-02-10 12:07:00"
2017,1,"05","137",0.452260557951294,64,4,"2017-02-10 12:07:00"
2017,1,"05","139",0.328894809024026,59,4,"2017-02-10 12:07:00"
2017,1,"05","141",-0.396411828451763,19,1,"2017-02-10 12:07:00"
2017,1,"05","143",-0.999579915549822,2,1,"2017-02-10 12:07:00"
2017,1,"05","145",-0.146483155428693,28,2,"2017-02-10 12:07:00"
2017,1,"05","147",0.773689693834303,71,4,"2017-02-10 12:07:00"
2017,1,"05","149",-0.075467113048834,33,2,"2017-02-10 12:07:00"
2017,1,"06","001",-0.436156859142173,13,1,"2017-02-10 12:07:00"
2017,1,"06","003",NA,999,NA,"2017-02-10 12:07:00"
2017,1,"06","005",-0.064196324320319,25,2,"2017-02-10 12:07:00"
2017,1,"06","007",0.299418235823587,44,4,"2017-02-10 12:07:00"
2017,1,"06","009",0.236479119852916,43,3,"2017-02-10 12:07:00"
2017,1,"06","011",-0.253013672232331,21,2,"2017-02-10 12:07:00"
2017,1,"06","013",-0.451416496012086,10,1,"2017-02-10 12:07:00"
2017,1,"06","015",0.536245596486968,50,4,"2017-02-10 12:07:00"
2017,1,"06","017",-0.311297772623551,20,2,"2017-02-10 12:07:00"
2017,1,"06","019",0.149989481276152,38,3,"2017-02-10 12:07:00"
2017,1,"06","021",0.087160543189018,35,3,"2017-02-10 12:07:00"
2017,1,"06","023",0.665924965410346,52,4,"2017-02-10 12:07:00"
2017,1,"06","025",-0.220483652117949,24,2,"2017-02-10 12:07:00"
2017,1,"06","027",0.107984163177564,36,3,"2017-02-10 12:07:00"
2017,1,"06","029",0.309582145579901,46,4,"2017-02-10 12:07:00"
2017,1,"06","031",-0.019464103604183,29,3,"2017-02-10 12:07:00"
2017,1,"06","033",1.18045568152944,55,4,"2017-02-10 12:07:00"
2017,1,"06","035",-0.041609858195177,28,2,"2017-02-10 12:07:00"
2017,1,"06","037",-0.387706134856655,16,2,"2017-02-10 12:07:00"
2017,1,"06","039",0.13894414845154,37,3,"2017-02-10 12:07:00"
2017,1,"06","041",-0.750769805582874,2,1,"2017-02-10 12:07:00"
2017,1,"06","043",0.490439141406344,49,4,"2017-02-10 12:07:00"
2017,1,"06","045",0.467687408455896,48,4,"2017-02-10 12:07:00"
2017,1,"06","047",0.086306664591605,34,3,"2017-02-10 12:07:00"
2017,1,"06","049",1.40761493291242,57,4,"2017-02-10 12:07:00"
2017,1,"06","051",-0.739476572520302,4,1,"2017-02-10 12:07:00"
2017,1,"06","053",-0.384483431763189,17,2,"2017-02-10 12:07:00"
2017,1,"06","055",-0.526943435176891,6,1,"2017-02-10 12:07:00"
2017,1,"06","057",-0.063149634426715,26,2,"2017-02-10 12:07:00"
2017,1,"06","059",-0.615003108594062,5,1,"2017-02-10 12:07:00"
2017,1,"06","061",-0.464224674973295,8,1,"2017-02-10 12:07:00"
2017,1,"06","063",0.722969564611772,54,4,"2017-02-10 12:07:00"
