"year","factor_id","state_fips","county_fips","z_score","rank","quartile","last_updated"
2023,1,"01","001",-0.785164125872431,4,1,"2023-02-20 12:28:00"
2023,1,"01","003",-0.765448167856169,5,1,"2023-02-20 12:28:00"
2023,1,"01","005",0.26591581280161,52,4,"2023-02-20 12:28:00"
2023,1,"01","007",-0.099362957752742,31,2,"2023-02-20 12:28:00"
2023,1,"01","009",-0.187027942794292,24,2,"2023-02-20 12:28:00"
2023,1,"01","011",-0.052789306074447,34,2,"2023-02-20 12:28:00"
2023,1,"01","013",0.231294961194735,51,4,"2023-02-20 12:28:00"
2023,1,"01","015",0.038192782569304,40,3,"2023-02-20 12:28:00"
2023,1,"01","017",-0.127980011151377,29,2,"2023-02-20 12:28:00"
2023,1,"01","019",-0.055054887867785,33,2,"2023-02-20 12:28:00"
2023,1,"01","021",-0.283438585490864,16,1,"2023-02-20 12:28:00"
2023,1,"01","023",0.103767733461842,44,3,"2023-02-20 12:28:00"
2023,1,"01","025",0.602144342126543,57,4,"2023-02-20 12:28:00"
2023,1,"01","027",0.195929689473962,48,3,"2023-02-20 12:28:00"
2023,1,"01","029",-0.242760997715798,20,2,"2023-02-20 12:28:00"
2023,1,"01","031",-0.509688344266819,10,1,"2023-02-20 12:28:00"
2023,1,"01","033",-0.125263495136182,30,2,"2023-02-20 12:28:00"
2023,1,"01","035",0.848574638465953,63,4,"2023-02-20 12:28:00"
2023,1,"01","037",0.395982415459583,55,4,"2023-02-20 12:28:00"
2023,1,"01","039",0.088706751230805,43,3,"2023-02-20 12:28:00"
2023,1,"01","041",0.081209276752638,42,3,"2023-02-20 12:28:00"
2023,1,"01","043",-0.233925346846731,21,2,"2023-02-20 12:28:00"
2023,1,"01","045",-0.274207783573033,17,1,"2023-02-20 12:28:00"
2023,1,"01","047",0.737670613653113,61,4,"2023-02-20 12:28:00"
2023,1,"01","049",-0.166196252005711,26,2,"2023-02-20 12:28:00"
2023,1,"01","051",-0.529916304493307,9,1,"2023-02-20 12:28:00"
2023,1,"01","053",0.310804561236598,53,4,"2023-02-20 12:28:00"
2023,1,"01","055",0.121636260397369,45,3,"2023-02-20 12:28:00"
2023,1,"01","057",0.181764482084943,47,3,"2023-02-20 12:28:00"
2023,1,"01","059",-0.149247309695684,27,2,"2023-02-20 12:28:00"
2023,1,"01","061",0.223810676017682,50,3,"2023-02-20 12:28:00"
2023,1,"01","063",0.683516688139677,59,4,"2023-02-20 12:28:00"
2023,1,"01","065",0.38076127432226,54,4,"2023-02-20 12:28:00"
2023,1,"01","067",-0.350234706881313,14,1,"2023-02-20 12:28:00"
2023,1,"01","069",-0.464819523059942,11,1,"2023-02-20 12:28:00"
2023,1,"01","071",-0.055201113070645,32,2,"2023-02-20 12:28:00"
2023,1,"01","073",-0.049739385888754,36,3,"2023-02-20 12:28:00"
2023,1,"01","075",-0.364581621151894,13,1,"2023-02-20 12:28:00"
