"year","measure_id","state_fips","county_fips","correction","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_nhopi","race_nhopi_ci_low","race_nhopi_ci_high","race_nhopi_flag","race_tom","race_tom_ci_low","race_tom_ci_high","race_tom_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","last_updated"
2019,1,"01","001",0,NA,NA,NA,NA,NA,NA,NA,NA,10471.2529859532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8706.65883231907,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","003",0,NA,NA,NA,NA,NA,NA,NA,NA,10042.4728735349,NA,NA,NA,3086.6056944981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7277.78072708487,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","005",0,NA,NA,NA,NA,NA,NA,NA,NA,11332.5629094412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7309.63671882658,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","007",0,NA,NA,NA,NA,NA,NA,NA,NA,14812.5392800529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11327.5637485939,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5619.64518584472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11336.0463209657,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","011",0,NA,NA,NA,NA,NA,NA,NA,NA,14336.5391024558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6638.66519208369,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","013",0,NA,NA,NA,NA,NA,NA,NA,NA,15793.5815029136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12797.667812461,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","015",0,NA,NA,NA,NA,NA,NA,NA,NA,12955.0212110009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12447.2269808172,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","017",0,NA,NA,NA,NA,NA,NA,NA,NA,10774.8174572304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11794.6809777135,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","019",0,NA,NA,NA,NA,NA,NA,NA,NA,16395.2545171834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10965.945621667,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","021",0,NA,NA,NA,NA,NA,NA,NA,NA,12000.4401448661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11110.0706190362,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","023",0,NA,NA,NA,NA,NA,NA,NA,NA,12215.4735552992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12163.6147939984,NA,NA,NA,"2019-02-01 17:22:00"
2019,1,"01","025",0,NA,NA,NA,NA,NA,NA,NA,NA,12447.3246947327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7394.57382796999,NA,NA,NA,"2019-02-01 17:22:00"
